36525.02083,46,38,44,45,42,44,45,43,41,42,36
36525.0625,46,36,42,43,42,43,44,44,39,43,32
36525.10417,45,35,40,41,40,42,41,42,36,43,31
36525.14583,41,30,36,37,39,38,40,34,35,39,30
36525.1875,39,30,34,33,40,38,35,30,33,35,34
36525.22917,35,29,32,32,41,37,35,35,36,35,35
36525.27083,33,28,30,30,38,36,33,34,32,33,32
36525.3125,33,28,30,29,33,36,30,33,31,33,30
36525.35417,36,28,30,30,36,38,31,34,31,35,28
36525.39583,47,33,32,41,43,44,39,41,35,42,30
36525.4375,53,42,44,49,47,52,44,48,40,51,35
36525.47917,54,47,49,54,50,55,51,54,47,55,41
36525.52083,55,52,51,58,51,58,55,58,52,59,47
36525.5625,55,54,52,59,51,60,56,60,55,60,51
36525.60417,55,55,52,60,52,60,59,61,56,61,53
36525.64583,55,56,52,60,51,60,60,62,56,62,54
36525.6875,52,56,51,57,50,59,56,60,55,59,54
36525.72917,46,52,48,51,47,53,51,53,48,53,53
36525.77083,40,47,45,46,39,46,46,43,44,46,50
36525.8125,40,46,35,43,39,44,42,37,38,43,50
36525.85417,39,46,34,40,34,45,40,36,37,44,48
36525.89583,38,45,30,37,33,43,38,36,37,42,47
36525.9375,40,46,30,39,31,43,41,43,37,44,45
36525.97917,41,46,30,42,33,45,41,44,38,46,41
36526.02083,43,45,32,42,36,46,41,45,40,47,40
36526.0625,44,44,33,44,36,47,42,46,41,48,39
36526.10417,46,44,35,45,40,47,43,46,42,48,42
36526.14583,46,45,39,45,42,46,45,46,44,48,42
36526.1875,47,45,41,46,42,47,46,46,44,47,45
36526.22917,47,44,42,46,43,45,46,45,44,46,46
36526.27083,47,43,42,48,45,44,47,46,44,47,46
36526.3125,47,43,43,48,44,44,45,48,41,46,47
36526.35417,47,46,43,49,43,46,43,47,43,46,47
36526.39583,47,48,43,50,42,48,44,46,43,47,47
36526.4375,47,48,44,53,44,49,46,47,45,49,50
36526.47917,49,50,44,55,44,52,48,53,45,52,51
36526.52083,52,51,45,57,45,54,50,51,48,53,52
36526.5625,56,52,46,58,47,56,53,52,52,55,54
36526.60417,54,53,47,60,48,59,54,54,54,58,55
36526.64583,56,55,49,62,49,61,55,57,55,58,57
36526.6875,57,56,49,61,49,60,55,58,56,58,59
36526.72917,53,54,47,54,46,58,52,52,53,56,56
36526.77083,50,53,45,50,42,55,49,47,47,52,53
36526.8125,47,52,42,46,42,53,47,44,49,50,53
36526.85417,46,51,41,48,42,51,45,42,45,48,51
36526.89583,45,49,41,48,41,49,46,43,44,47,46
36526.9375,45,51,41,48,42,50,45,43,45,48,50
36526.97917,45,50,38,48,39,50,45,47,44,49,50
36527.02083,45,47,41,48,41,47,45,47,45,48,50
36527.0625,46,50,40,48,41,50,46,47,45,49,53
36527.10417,46,49,42,47,43,48,44,42,45,46,52
36527.14583,44,50,42,49,43,47,44,41,45,46,52
